Group,Year,Month,State,Condition.Group,Condition,ICD10_codes,Age.Group,COVID.19.Deaths,Number.of.Mentions,Flag,TotalPopulation
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,7239,7239,NA,6483182
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,3315,3315,NA,6467137
By Year,2020,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,41717,41717,NA,NA
By Year,2021,-1,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,49427,49427,NA,NA
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,0-24,188,195,NA,104606067
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,0-24,601,626,NA,103989602
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,25-34,791,802,NA,45552696
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,25-34,2524,2563,NA,45429181
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,35-44,2174,2204,NA,42738081
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,35-44,6930,7031,NA,43245245
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,45-54,6763,6878,NA,40992735
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,45-54,16663,16879,NA,40595371
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,55-64,17386,17737,NA,42795410
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,55-64,35425,36164,NA,42543029
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,65-74,32584,33444,NA,32371608
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,65-74,51018,52567,NA,33422673
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,75-84,40445,41599,NA,15971733
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,75-84,48173,49797,NA,16339316
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,85+,38021,38863,NA,6483182
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,85+,33400,34303,NA,6467137
By Year,2020,-1,United States,Respiratory diseases,Respiratory failure,J96,All Ages,138355,141725,NA,NA
By Year,2021,-1,United States,Respiratory diseases,Respiratory failure,J96,All Ages,194736,199932,NA,NA
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,0-24,15,15,NA,104606067
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,0-24,40,40,NA,103989602
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,25-34,50,50,NA,45552696
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,25-34,121,121,NA,45429181
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,35-44,130,130,NA,42738081
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,35-44,308,308,NA,43245245
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,45-54,343,343,NA,40992735
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,45-54,702,702,NA,40595371
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,55-64,885,885,NA,42795410
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,55-64,1472,1472,NA,42543029
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,65-74,1616,1616,NA,32371608
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,65-74,2079,2079,NA,33422673
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,75-84,2250,2250,NA,15971733
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,75-84,2283,2283,NA,16339316
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,85+,2863,2863,NA,6483182
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,85+,2232,2232,NA,6467137
By Year,2020,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,All Ages,8152,8152,NA,NA
By Year,2021,-1,United States,Respiratory diseases,Respiratory arrest,R09.2,All Ages,9237,9237,NA,NA
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,37,39,NA,104606067
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,180,199,NA,103989602
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,125,135,NA,45552696
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,470,507,NA,45429181
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,307,322,NA,42738081
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,1111,1192,NA,43245245
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,777,820,NA,40992735
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,2399,2599,NA,40595371
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1964,2085,NA,42795410
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,4743,5141,NA,42543029
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,3472,3656,NA,32371608
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,6298,6717,NA,33422673
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,4149,4309,NA,15971733
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,5827,6149,NA,16339316
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,4121,4204,NA,6483182
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,3942,4107,NA,6467137
By Year,2020,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,14952,15570,NA,NA
By Year,2021,-1,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,24970,26611,NA,NA
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,29,29,NA,104606067
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,49,49,NA,103989602
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,226,229,NA,45552696
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,457,462,NA,45429181
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,973,980,NA,42738081
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,1887,1897,NA,43245245
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,3181,3206,NA,40992735
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,5332,5362,NA,40595371
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,9089,9142,NA,42795410
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,12313,12418,NA,42543029
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,17149,17237,NA,32371608
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,18838,18984,NA,33422673
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,22195,22346,NA,15971733
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,19809,20030,NA,16339316
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,85+,26382,26680,NA,6483182
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,85+,18809,19245,NA,6467137
By Year,2020,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,79227,79852,NA,NA
By Year,2021,-1,United States,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,77495,78448,NA,NA
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,6,7,NA,104606067
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,19,20,NA,103989602
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,53,56,NA,45552696
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,145,151,NA,45429181
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,227,237,NA,42738081
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,536,583,NA,43245245
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,1008,1071,NA,40992735
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,2012,2151,NA,40595371
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,3782,4039,NA,42795410
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,5910,6400,NA,42543029
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,8880,9456,NA,32371608
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,11043,11901,NA,33422673
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,13547,14320,NA,15971733
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,13601,14582,NA,16339316
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,85+,15731,16525,NA,6483182
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,85+,12011,12834,NA,6467137
By Year,2020,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,43237,45714,NA,NA
By Year,2021,-1,United States,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,45279,48624,NA,NA
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,0-24,90,90,NA,104606067
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,0-24,242,242,NA,103989602
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,25-34,361,361,NA,45552696
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,25-34,926,928,NA,45429181
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,35-44,953,953,NA,42738081
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,35-44,2328,2329,NA,43245245
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,45-54,2784,2784,NA,40992735
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,45-54,5390,5391,NA,40595371
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,55-64,6344,6346,NA,42795410
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,55-64,10567,10571,NA,42543029
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,65-74,10288,10288,NA,32371608
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,65-74,13921,13922,NA,33422673
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,75-84,11407,11408,NA,15971733
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,75-84,12897,12903,NA,16339316
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,85+,11637,11639,NA,6483182
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,85+,10044,10047,NA,6467137
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrest,I46,All Ages,43865,43870,NA,NA
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrest,I46,All Ages,56315,56333,NA,NA
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,18,18,NA,104606067
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,37,39,NA,103989602
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,56,56,NA,45552696
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,161,168,NA,45429181
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,147,149,NA,42738081
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,428,443,NA,43245245
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,556,576,NA,40992735
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,1328,1358,NA,40595371
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1881,1929,NA,42795410
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,3806,3914,NA,42543029
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,4912,5043,NA,32371608
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,7578,7757,NA,33422673
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,8553,8737,NA,15971733
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,10506,10756,NA,16339316
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,11560,11765,NA,6483182
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,10962,11218,NA,6467137
By Year,2020,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,27683,28273,NA,NA
By Year,2021,-1,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,34806,35653,NA,NA
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,0-24,12,12,NA,104606067
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,0-24,37,37,NA,103989602
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,25-34,63,63,NA,45552696
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,25-34,162,162,NA,45429181
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,35-44,199,199,NA,42738081
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,35-44,415,415,NA,43245245
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,45-54,656,657,NA,40992735
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,45-54,1203,1205,NA,40595371
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,55-64,2175,2177,NA,42795410
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,55-64,3216,3217,NA,42543029
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,65-74,4921,4925,NA,32371608
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,65-74,6654,6662,NA,33422673
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,75-84,8446,8450,NA,15971733
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,75-84,9559,9572,NA,16339316
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,85+,12809,12816,NA,6483182
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,85+,11469,11482,NA,6467137
By Year,2020,-1,United States,Circulatory diseases,Heart failure,I50,All Ages,29282,29300,NA,NA
By Year,2021,-1,United States,Circulatory diseases,Heart failure,I50,All Ages,32715,32752,NA,NA
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,19,19,NA,104606067
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,50,54,NA,103989602
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,54,59,NA,45552696
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,150,160,NA,45429181
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,178,192,NA,42738081
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,439,455,NA,43245245
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,649,681,NA,40992735
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,1158,1206,NA,40595371
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,2031,2099,NA,42795410
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,2889,3005,NA,42543029
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,4182,4292,NA,32371608
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,4914,5054,NA,33422673
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,5678,5807,NA,15971733
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,5597,5752,NA,16339316
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,6580,6731,NA,6483182
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,5531,5711,NA,6467137
By Year,2020,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,19372,19881,NA,NA
By Year,2021,-1,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,20728,21397,NA,NA
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,85,98,NA,104606067
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,211,241,NA,103989602
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,221,247,NA,45552696
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,590,666,NA,45429181
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,474,548,NA,42738081
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,1447,1630,NA,43245245
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,1205,1311,NA,40992735
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,3267,3663,NA,40595371
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,2837,3075,NA,42795410
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,6392,7093,NA,42543029
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,5032,5502,NA,32371608
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,8735,9562,NA,33422673
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,6262,6798,NA,15971733
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,8351,9145,NA,16339316
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,7050,7637,NA,6483182
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,7162,7860,NA,6467137
By Year,2020,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,23166,25216,NA,NA
By Year,2021,-1,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,36156,39861,NA,NA
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,0-24,72,73,NA,104606067
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,0-24,224,224,NA,103989602
