"Group","Year","Month","State","Condition.Group","Condition","ICD10_codes","Age.Group","COVID.19.Deaths","Number.of.Mentions","Flag"
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","25-34",2524,2563,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","35-44",2174,2204,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","35-44",6930,7031,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","45-54",6763,6878,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","45-54",16663,16879,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","55-64",17386,17737,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","55-64",35425,36164,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","65-74",32584,33444,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","65-74",51018,52567,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","75-84",40445,41599,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","75-84",48173,49797,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","85+",38021,38863,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","85+",33400,34303,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory failure","J96","All Ages",138355,141725,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory failure","J96","All Ages",194736,199932,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","0-24",15,15,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","0-24",40,40,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","25-34",50,50,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","25-34",121,121,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","35-44",130,130,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","35-44",308,308,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","45-54",343,343,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","45-54",702,702,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","55-64",885,885,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","55-64",1472,1472,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","65-74",1616,1616,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","65-74",2079,2079,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","75-84",2250,2250,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","75-84",2283,2283,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","85+",2863,2863,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","85+",2232,2232,""
"By Year",2020,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","All Ages",8152,8152,""
"By Year",2021,-1,"United States","Respiratory diseases","Respiratory arrest","R09.2","All Ages",9237,9237,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","0-24",37,39,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","0-24",180,199,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","25-34",125,135,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","25-34",470,507,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","35-44",307,322,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","35-44",1111,1192,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","45-54",777,820,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","45-54",2399,2599,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","55-64",1964,2085,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","55-64",4743,5141,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","65-74",3472,3656,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","65-74",6298,6717,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","75-84",4149,4309,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","75-84",5827,6149,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","85+",4121,4204,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","85+",3942,4107,""
"By Year",2020,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",14952,15570,""
"By Year",2021,-1,"United States","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",24970,26611,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","0-24",29,29,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","0-24",49,49,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","25-34",226,229,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","25-34",457,462,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","35-44",973,980,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","35-44",1887,1897,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","45-54",3181,3206,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","45-54",5332,5362,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","55-64",9089,9142,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","55-64",12313,12418,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","65-74",17149,17237,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","65-74",18838,18984,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","75-84",22195,22346,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","75-84",19809,20030,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","85+",26382,26680,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","85+",18809,19245,""
"By Year",2020,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",79227,79852,""
"By Year",2021,-1,"United States","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",77495,78448,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","0-24",6,7,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","0-24",19,20,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","25-34",53,56,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","25-34",145,151,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","35-44",227,237,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","35-44",536,583,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","45-54",1008,1071,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","45-54",2012,2151,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","55-64",3782,4039,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","55-64",5910,6400,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","65-74",8880,9456,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","65-74",11043,11901,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","75-84",13547,14320,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","75-84",13601,14582,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","85+",15731,16525,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","85+",12011,12834,""
"By Year",2020,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",43237,45714,""
"By Year",2021,-1,"United States","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",45279,48624,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","0-24",90,90,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","0-24",242,242,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","25-34",361,361,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","25-34",926,928,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","35-44",953,953,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","35-44",2328,2329,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","45-54",2784,2784,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","45-54",5390,5391,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","55-64",6344,6346,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","55-64",10567,10571,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","65-74",10288,10288,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","65-74",13921,13922,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","75-84",11407,11408,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","75-84",12897,12903,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","85+",11637,11639,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","85+",10044,10047,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrest","I46","All Ages",43865,43870,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrest","I46","All Ages",56315,56333,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","0-24",18,18,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","0-24",37,39,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","25-34",56,56,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","25-34",161,168,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","35-44",147,149,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","35-44",428,443,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","45-54",556,576,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","45-54",1328,1358,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","55-64",1881,1929,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","55-64",3806,3914,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","65-74",4912,5043,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","65-74",7578,7757,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","75-84",8553,8737,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","75-84",10506,10756,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","85+",11560,11765,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","85+",10962,11218,""
"By Year",2020,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",27683,28273,""
"By Year",2021,-1,"United States","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",34806,35653,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","0-24",12,12,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","0-24",37,37,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","25-34",63,63,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","25-34",162,162,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","35-44",199,199,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","35-44",415,415,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","45-54",656,657,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","45-54",1203,1205,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","55-64",2175,2177,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","55-64",3216,3217,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","65-74",4921,4925,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","65-74",6654,6662,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","75-84",8446,8450,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","75-84",9559,9572,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","85+",12809,12816,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","85+",11469,11482,""
"By Year",2020,-1,"United States","Circulatory diseases","Heart failure","I50","All Ages",29282,29300,""
"By Year",2021,-1,"United States","Circulatory diseases","Heart failure","I50","All Ages",32715,32752,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","0-24",19,19,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","0-24",50,54,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","25-34",54,59,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","25-34",150,160,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","35-44",178,192,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","35-44",439,455,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","45-54",649,681,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","45-54",1158,1206,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","55-64",2031,2099,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","55-64",2889,3005,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","65-74",4182,4292,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","65-74",4914,5054,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","75-84",5678,5807,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","75-84",5597,5752,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","85+",6580,6731,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","85+",5531,5711,""
"By Year",2020,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",19372,19881,""
"By Year",2021,-1,"United States","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",20728,21397,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","0-24",85,98,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","0-24",211,241,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","25-34",221,247,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","25-34",590,666,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","35-44",474,548,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","35-44",1447,1630,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","45-54",1205,1311,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","45-54",3267,3663,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","55-64",2837,3075,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","55-64",6392,7093,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","65-74",5032,5502,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","65-74",8735,9562,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","75-84",6262,6798,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","75-84",8351,9145,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","85+",7050,7637,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","85+",7162,7860,""
"By Year",2020,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",23166,25216,""
"By Year",2021,-1,"United States","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",36156,39861,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","0-24",72,73,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","0-24",224,224,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","25-34",262,262,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","25-34",797,798,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","35-44",753,753,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","35-44",2313,2317,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","45-54",2445,2446,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","45-54",5400,5401,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","55-64",5940,5942,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","55-64",11027,11034,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","65-74",10036,10039,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","65-74",14037,14043,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","75-84",9617,9620,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","75-84",10830,10831,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","85+",6636,6638,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","85+",5518,5519,""
"By Year",2020,-1,"United States","Sepsis","Sepsis","A40-A41","All Ages",35762,35774,""
"By Year",2021,-1,"United States","Sepsis","Sepsis","A40-A41","All Ages",50146,50167,""
"By Year",2020,-1,"United States","Malignant neoplasms","Malignant neoplasms","C00-C97","0-24",40,45,""
